entity_id	protein_id
79	
73	
63	
66	
91	
160	
16	
101	
2	
124	
127	
56	
42	
28	
11	
27	
29	
20	
30	
19	
0	
110	
33	
145	
90	
129	
51	
162	
26	
80	
1	
128	
94	
57	
120	
122	
130	
134	
18	
123	
6	
132	
71	
92	
69	
4	
72	
54	
78	
146	
37	
159	
150	
152	
148	
151	
100	
113	
141	
12	
74	
153	
109	
149	
99	
121	
70	
65	
48	
3	
5	
35	
133	
131	
31	
115	
14	
55	
140	
102	
50	
68	
36	
49	
111	
89	
7	
53	
105	
112	
38	
139	
114	
43	
93	
44	
106	
135	
47	
155	
85	
64	
62	
125	
81	
10	
60	
34	
88	
67	
144	
75	
157	
82	
107	
108	
154	
45	
25	
83	
52	
143	
156	
77	
96	
97	
46	
98	
41	
103	
87	
142	
32	
39	
95	
119	
117	
58	
8	
9	
161	
61	
86	
59	
84	
17	
24	
15	
23	
21	
137	
126	
13	
138	
104	
22	
147	
116	
29	0.0
29	1.0
29	2.0
29	3.0
29	4.0
29	5.0
29	6.0
29	7.0
29	8.0
29	9.0
29	10.0
29	11.0
29	12.0
29	13.0
29	14.0
29	15.0
29	16.0
29	17.0
29	18.0
29	19.0
29	20.0
29	21.0
29	22.0
29	23.0
29	24.0
29	25.0
29	26.0
29	27.0
29	28.0
29	29.0
29	30.0
29	31.0
29	32.0
29	33.0
29	34.0
29	35.0
29	36.0
29	37.0
29	38.0
29	39.0
29	40.0
29	41.0
29	42.0
29	43.0
29	44.0
29	45.0
29	46.0
29	47.0
29	48.0
29	49.0
29	50.0
29	51.0
29	52.0
29	53.0
29	54.0
29	55.0
29	56.0
29	57.0
29	58.0
29	59.0
29	60.0
29	61.0
29	62.0
29	63.0
29	64.0
29	65.0
29	66.0
29	67.0
29	68.0
29	69.0
29	70.0
29	71.0
29	72.0
29	73.0
29	74.0
29	75.0
29	76.0
29	77.0
29	78.0
29	79.0
29	80.0
29	81.0
29	82.0
29	83.0
29	84.0
29	85.0
29	86.0
29	87.0
29	88.0
29	89.0
29	90.0
29	91.0
29	92.0
29	93.0
29	94.0
29	95.0
29	96.0
29	97.0
29	98.0
29	99.0
29	100.0
29	101.0
29	102.0
29	103.0
29	104.0
29	105.0
29	106.0
29	107.0
29	108.0
29	109.0
29	110.0
29	111.0
29	112.0
29	113.0
29	114.0
29	115.0
29	116.0
29	117.0
29	118.0
29	119.0
29	120.0
29	121.0
29	122.0
29	123.0
29	124.0
29	125.0
29	126.0
29	127.0
29	128.0
29	129.0
29	130.0
29	131.0
29	132.0
29	133.0
29	134.0
29	135.0
29	136.0
29	137.0
29	138.0
29	139.0
29	140.0
29	141.0
29	142.0
29	143.0
29	144.0
29	145.0
29	146.0
29	147.0
29	148.0
29	149.0
29	150.0
29	151.0
29	152.0
29	153.0
29	154.0
29	155.0
29	156.0
29	157.0
29	158.0
29	159.0
29	160.0
29	161.0
29	162.0
29	163.0
29	164.0
29	165.0
29	166.0
29	167.0
29	168.0
29	169.0
29	170.0
29	171.0
29	172.0
29	173.0
29	174.0
29	175.0
29	176.0
29	177.0
29	178.0
29	179.0
29	180.0
29	181.0
29	182.0
29	183.0
29	184.0
29	185.0
29	186.0
29	187.0
29	188.0
31	189.0
31	190.0
31	191.0
31	192.0
31	193.0
31	194.0
31	195.0
31	196.0
31	197.0
31	198.0
31	199.0
31	200.0
31	201.0
31	202.0
31	203.0
31	204.0
31	205.0
31	206.0
31	207.0
31	208.0
31	209.0
31	210.0
31	211.0
31	212.0
31	213.0
31	214.0
31	215.0
31	216.0
31	217.0
31	218.0
31	219.0
31	220.0
31	221.0
31	222.0
31	223.0
31	224.0
31	225.0
31	226.0
31	227.0
31	228.0
31	229.0
31	230.0
31	231.0
31	232.0
31	233.0
31	234.0
31	235.0
31	236.0
31	237.0
31	238.0
31	239.0
31	240.0
31	241.0
31	242.0
31	243.0
31	244.0
31	245.0
31	246.0
31	247.0
31	248.0
31	249.0
31	250.0
31	251.0
31	252.0
31	253.0
31	254.0
31	255.0
31	256.0
31	257.0
31	258.0
31	259.0
31	260.0
31	261.0
31	262.0
31	263.0
31	264.0
31	265.0
31	266.0
31	267.0
31	268.0
31	269.0
31	270.0
31	271.0
31	272.0
31	273.0
31	274.0
31	275.0
31	276.0
31	277.0
31	278.0
31	279.0
31	280.0
31	281.0
31	282.0
31	283.0
31	284.0
31	285.0
31	286.0
31	287.0
31	288.0
31	289.0
31	290.0
31	291.0
31	292.0
31	293.0
31	294.0
31	295.0
31	296.0
31	297.0
31	298.0
31	299.0
31	300.0
31	301.0
31	302.0
31	303.0
31	304.0
31	305.0
31	306.0
31	307.0
31	308.0
31	309.0
31	310.0
31	311.0
31	312.0
31	313.0
31	314.0
31	315.0
31	316.0
31	317.0
31	318.0
31	319.0
31	320.0
31	321.0
31	322.0
31	323.0
31	324.0
31	325.0
31	326.0
31	327.0
31	328.0
31	329.0
31	330.0
31	331.0
31	332.0
31	333.0
31	334.0
31	335.0
31	336.0
31	337.0
31	338.0
31	339.0
31	340.0
31	341.0
31	342.0
31	343.0
31	344.0
31	345.0
31	346.0
31	347.0
31	348.0
31	349.0
31	350.0
31	351.0
31	352.0
31	353.0
31	354.0
31	355.0
31	356.0
31	357.0
31	358.0
31	359.0
31	360.0
31	361.0
31	362.0
31	363.0
31	364.0
31	365.0
31	366.0
31	367.0
31	368.0
31	369.0
31	370.0
31	371.0
31	372.0
31	373.0
31	374.0
31	375.0
31	376.0
31	377.0
31	378.0
31	379.0
31	380.0
31	381.0
31	382.0
31	383.0
31	384.0
31	385.0
31	386.0
31	387.0
31	388.0
31	389.0
31	390.0
31	391.0
31	392.0
31	393.0
31	394.0
31	395.0
31	396.0
31	397.0
31	398.0
31	399.0
31	400.0
31	401.0
31	402.0
31	403.0
31	404.0
31	405.0
31	406.0
31	407.0
31	408.0
31	409.0
31	410.0
31	411.0
31	412.0
31	413.0
31	414.0
31	415.0
31	416.0
31	417.0
31	418.0
31	419.0
31	420.0
31	421.0
31	422.0
31	423.0
31	424.0
31	425.0
31	426.0
31	427.0
31	428.0
31	429.0
31	430.0
31	431.0
31	432.0
31	433.0
31	434.0
31	435.0
31	436.0
31	437.0
31	438.0
31	439.0
31	440.0
31	441.0
31	442.0
31	443.0
31	444.0
31	445.0
31	446.0
31	447.0
31	448.0
31	449.0
31	450.0
31	451.0
31	452.0
31	453.0
31	454.0
31	455.0
