microbiome_id	entity_id
1	79
1	73
1	63
1	66
1	91
1	160
0	16
1	101
0	2
1	124
1	127
1	56
0	42
0	28
0	11
0	27
0	29
0	20
0	30
0	19
0	0
1	110
0	33
1	145
1	90
1	129
1	51
1	162
0	26
1	80
0	1
1	128
1	94
1	57
1	120
1	122
1	130
1	134
0	18
1	123
0	6
1	132
1	71
1	92
1	69
0	4
1	72
1	54
1	78
1	146
0	37
1	159
1	150
1	152
1	148
1	151
1	100
1	113
1	141
0	12
1	74
1	153
1	109
1	149
1	99
1	121
1	70
1	65
1	48
0	3
0	5
0	35
1	133
1	131
0	31
1	115
0	14
1	55
1	140
1	102
1	50
1	68
0	36
1	49
1	111
1	89
0	7
1	53
1	105
1	112
0	38
1	139
1	114
1	43
1	93
1	44
1	106
1	135
1	47
1	155
1	85
1	64
1	62
1	125
1	81
0	10
1	60
0	34
1	88
1	67
1	144
1	75
1	157
1	82
1	107
1	108
1	154
1	45
0	25
1	83
1	52
1	143
1	156
1	77
1	96
1	97
1	46
1	98
0	41
1	103
1	87
1	142
0	32
0	39
1	95
1	119
1	117
1	58
0	8
0	9
1	161
1	61
1	86
1	59
1	84
0	17
0	24
0	15
0	23
0	21
1	137
1	126
0	13
1	138
1	104
0	22
1	147
1	116
