protein_id	peptide_id	count
429	0	1
184	1	1
158	2	1
443	3	1
214	4	1
3344	5	1
3078	6	1
3082	7	1
429	8	1
122	9	1
204	10	1
184	11	1
181	12	1
50	13	1
2747	14	1
428	15	1
158	16	1
2845	17	1
487	18	1
284	19	1
443	20	1
2106	21	1
386	22	1
372	23	1
57	24	1
2293	25	1
277	26	1
71	27	1
214	28	1
2330	29	1
3344	30	1
539	31	1
449	32	1
3078	33	1
312	34	1
392	35	1
77	36	1
3082	37	1
288	38	1
429	39	1
122	40	1
2999	41	1
204	42	1
2289	43	1
2180	44	1
83	45	1
240	46	1
184	47	1
6	48	1
3469	49	1
2424	50	1
181	51	1
2799	52	1
69	53	1
163	54	1
50	55	1
2747	56	1
1877	57	1
241	58	1
3208	59	1
312	60	1
2929	61	1
2857	62	1
451	63	1
428	64	1
158	65	1
246	66	1
2702	67	1
2778	68	1
2845	69	1
305	70	1
108	71	1
967	72	1
2496	73	1
2700	74	1
2040	75	1
487	76	1
3470	77	1
247	78	1
2544	79	1
79	80	1
242	81	1
3521	82	1
3519	83	1
284	84	1
3392	85	1
3425	86	1
3080	87	1
399	88	1
2640	89	1
3014	90	1
443	91	1
6	92	1
442	93	1
319	94	1
2087	95	1
2106	96	1
77	97	2
1120	98	1
386	99	1
372	100	1
2430	101	1
1141	102	1
387	103	1
463	104	1
2108	105	1
57	106	1
2293	107	1
2164	108	1
383	109	1
169	110	1
277	111	1
516	112	1
6	113	1
484	114	1
195	115	1
395	116	1
114	117	1
154	118	1
382	119	1
3433	120	1
77	121	1
71	122	1
212	123	1
64	124	1
483	125	1
214	126	1
243	127	1
242	128	1
3433	129	1
332	130	1
466	131	1
1149	132	1
2330	133	1
3344	134	1
3169	135	1
21	136	1
463	137	1
539	138	1
71	139	1
386	140	1
270	141	1
1849	142	1
270	143	1
223	144	1
3174	145	1
3168	146	1
2430	147	1
3388	148	1
538	149	1
2064	150	1
449	151	1
2799	152	1
3588	153	1
2311	154	1
3620	155	1
453	156	1
218	157	1
307	158	1
1799	159	1
2169	160	1
97	161	1
2967	162	1
2746	163	1
3454	164	1
2848	165	1
3112	166	1
3171	166	1
3078	167	1
312	168	1
83	169	1
109	169	1
493	170	1
914	171	1
243	172	1
2392	173	1
406	174	1
1815	175	1
345	176	1
229	177	1
460	178	1
2859	179	1
392	180	1
1877	181	1
2102	182	1
155	183	1
1862	184	1
2906	185	1
0	186	1
712	187	1
0	188	1
521	189	1
473	190	1
451	191	1
2961	192	1
345	193	1
16	194	1
3639	195	1
3703	195	1
3275	196	1
3497	197	1
2557	198	1
360	199	1
513	200	4
2293	201	1
432	202	1
3752	203	1
572	204	1
125	205	1
421	206	1
552	207	1
77	208	1
2614	209	1
2137	210	1
364	211	1
730	212	1
3268	213	1
125	214	1
3082	215	1
3391	216	1
2419	217	1
1562	218	1
3499	219	1
2454	220	1
3174	221	1
288	222	1
429	223	1
2107	224	1
2744	225	1
2746	226	1
467	227	1
307	228	1
162	229	1
3114	230	1
3140	231	1
2128	232	1
2541	233	1
122	234	1
187	235	1
2999	236	1
1841	237	1
2866	238	1
439	239	1
204	240	1
2289	241	1
2180	242	1
2797	243	1
2355	244	1
77	245	1
83	246	1
240	247	1
386	248	1
386	249	1
385	250	1
121	251	1
2204	252	1
184	253	1
491	254	1
392	255	1
2165	256	1
6	257	1
549	258	1
2833	259	1
143	260	1
545	261	1
204	262	1
2699	263	1
2703	264	1
3469	265	1
2799	266	1
2424	267	1
2572	268	1
2073	269	1
2532	270	1
1396	271	1
552	272	1
1393	273	1
3408	274	1
352	275	1
1420	276	1
181	277	1
3364	278	1
85	279	1
2941	280	1
2799	281	1
1210	282	1
69	283	1
2358	284	1
1331	285	1
163	286	1
3731	287	1
521	288	1
3500	289	1
3585	290	1
3495	291	1
2149	292	1
486	293	1
434	294	1
1972	295	1
2905	296	1
2991	297	1
2356	298	1
70	299	1
49	300	1
74	301	1
50	302	1
246	303	1
2845	304	1
2108	305	1
2747	306	1
3605	307	1
369	308	1
323	309	1
914	310	1
807	311	1
145	312	1
912	313	1
2	314	1
112	315	1
1877	316	1
1504	317	1
68	318	1
241	319	1
501	320	1
1176	321	1
3082	322	1
162	323	1
312	324	1
2429	325	1
3208	326	1
338	327	1
312	328	1
409	329	1
406	330	1
0	331	1
1992	332	1
142	333	1
2929	334	1
421	335	1
3222	336	1
31	337	1
2857	338	1
818	339	1
561	340	1
2175	341	1
3017	342	1
2872	343	1
1294	344	1
3461	345	1
3178	346	1
2576	347	1
67	348	1
410	349	1
2300	350	1
399	351	1
501	352	1
452	353	1
451	354	1
3429	355	1
2471	356	1
428	357	1
158	358	1
15	359	1
112	360	1
3166	361	1
2845	362	1
2598	363	1
2289	364	1
3445	365	1
246	366	1
217	367	1
158	368	1
184	368	1
520	369	1
523	369	1
1883	370	1
2444	371	1
2702	372	1
252	373	1
142	374	1
2778	375	1
2845	376	1
204	377	1
69	378	1
2481	379	1
270	380	1
255	381	1
21	382	1
2583	383	1
3427	384	1
481	385	1
62	386	1
174	387	1
305	388	1
844	389	1
3521	390	1
108	391	1
1278	392	1
455	393	1
3717	394	1
2843	395	1
2107	396	1
421	397	1
464	398	1
451	399	1
3439	400	1
3383	401	1
3019	402	1
3490	403	1
1402	404	1
2230	405	1
1812	406	1
379	407	1
77	408	2
214	409	1
2662	410	1
967	411	1
1506	412	1
2496	413	1
525	414	1
2543	415	1
36	416	1
274	417	1
908	418	1
1878	419	1
2527	420	1
2756	421	1
269	422	1
2700	423	1
1862	424	1
3684	425	1
1878	426	1
2799	427	1
2040	428	1
3063	429	1
813	430	1
476	431	1
487	432	1
3470	433	1
247	434	1
2544	435	1
2072	436	1
1130	437	1
79	438	1
701	439	1
2551	440	1
242	441	1
294	442	1
71	443	1
229	444	1
181	445	1
356	446	1
473	447	1
489	448	1
1699	449	1
2249	450	1
1736	451	1
158	452	1
3103	453	1
354	454	1
739	455	1
359	456	1
3594	457	1
1005	458	1
3602	459	1
2719	460	1
2366	461	1
2814	462	1
3521	463	1
2113	464	1
3185	465	1
253	466	1
3096	467	1
2386	468	1
2690	469	1
1113	470	1
3619	471	1
3398	472	1
52	473	1
3519	474	1
2392	475	1
284	476	1
2175	477	1
1211	478	1
399	479	1
2981	480	1
3392	481	1
287	482	1
2513	483	1
3346	484	1
3425	485	1
1853	486	1
2406	487	1
3080	488	1
399	489	1
399	490	1
399	491	1
291	492	1
3287	493	1
454	494	1
2784	495	1
2640	496	1
1775	497	1
2666	498	1
382	499	1
2101	500	1
423	501	1
3307	502	1
2443	503	1
490	504	1
433	505	1
3410	506	1
383	507	1
3437	508	1
204	509	1
516	510	1
294	511	1
248	512	1
563	513	1
447	514	1
1850	515	1
2128	516	1
428	517	1
305	518	1
2085	519	1
544	520	1
2743	521	1
359	522	1
521	523	2
2960	524	1
2742	525	1
0	526	1
2667	527	1
250	528	1
3681	529	1
1900	530	1
2745	531	1
3014	532	1
3454	533	1
2347	534	1
160	535	1
361	536	1
3182	537	1
443	538	1
29	539	1
175	540	1
455	541	1
6	542	1
442	543	1
1790	544	1
30	545	1
319	546	1
3460	547	1
3294	548	1
1854	549	1
2598	550	1
1964	551	1
2549	552	1
3221	553	1
3493	554	1
1495	555	1
606	556	1
3746	557	1
2	558	1
375	559	1
557	560	1
0	561	1
33	562	1
2867	563	1
324	564	1
3329	565	1
563	566	1
2729	567	1
2087	568	1
2066	569	1
456	570	1
2428	571	1
1431	572	1
0	573	1
3017	574	1
1817	575	1
2607	576	1
2584	577	1
3423	578	1
524	579	1
248	580	1
3469	581	1
2106	582	1
284	583	1
157	584	1
71	585	1
541	586	1
305	587	1
3614	588	1
228	589	1
77	590	1
77	591	1
442	592	1
2573	593	1
33	594	1
164	595	1
245	596	1
3457	597	1
2699	598	1
2523	599	1
2310	600	1
3425	601	1
280	602	1
1120	603	1
4	604	1
386	605	1
118	606	1
203	607	1
280	608	1
516	609	1
290	610	1
2349	611	1
3215	612	1
225	613	1
2742	614	1
3032	615	1
1841	616	1
3492	617	1
2464	618	1
3083	619	1
3520	620	1
372	621	1
2204	622	1
16	623	1
2430	624	1
222	625	1
415	626	1
538	627	1
2149	628	1
2819	629	1
1331	630	1
910	631	1
3157	632	1
2503	633	1
77	634	1
3185	635	1
1904	636	1
1992	637	1
3239	638	1
314	639	1
286	640	1
299	641	1
2060	642	1
3188	643	1
377	644	1
3474	645	1
177	646	1
2167	647	1
1976	648	1
3568	649	1
402	650	1
3552	651	1
443	652	1
75	653	1
2926	654	1
576	655	1
3140	656	1
2362	657	1
3314	658	1
2075	659	1
538	660	1
198	661	1
434	662	1
572	663	1
900	664	1
625	665	1
290	666	1
3460	667	1
1141	668	1
4	669	1
257	670	1
396	671	1
396	672	1
433	673	1
3520	674	1
3169	675	1
214	676	1
387	677	1
3	678	1
195	679	1
394	680	1
3498	681	1
231	682	1
3334	683	1
3103	684	1
553	685	1
3716	686	1
417	687	1
9	688	1
3215	689	1
87	690	1
0	691	1
2073	692	1
520	693	1
522	693	1
1280	694	1
463	695	1
3173	696	1
3269	697	1
2108	698	1
16	699	1
57	700	1
441	701	1
0	702	1
1854	703	1
2598	703	1
271	704	1
2293	705	1
270	706	1
386	707	1
97	708	1
271	709	1
2293	710	1
1649	711	1
77	712	1
3017	713	1
3341	714	1
2771	715	1
2690	716	1
3052	717	1
3083	718	1
807	719	1
351	720	1
49	721	1
470	722	1
71	723	1
51	724	1
2164	725	1
3489	726	1
433	727	1
184	728	1
220	729	1
484	730	1
3586	731	1
2169	732	1
3752	733	1
1558	734	1
219	735	1
383	736	1
492	737	1
498	738	1
3589	739	1
354	740	1
557	741	1
2845	742	1
147	743	1
2269	744	1
71	745	1
151	746	1
169	747	1
3526	748	1
471	749	1
230	750	1
2249	751	1
435	752	1
277	753	1
110	754	1
516	755	1
306	756	1
1886	757	1
3226	758	1
6	759	1
3640	760	1
3702	760	1
484	761	1
301	762	1
1836	763	1
396	764	1
2998	765	1
3302	766	1
3735	767	1
316	768	1
195	769	1
3617	770	1
3568	771	1
372	772	1
306	773	1
3626	774	1
324	775	1
1834	776	1
498	777	1
69	778	1
155	779	1
395	780	1
34	781	1
3232	782	1
76	783	1
114	784	1
2849	785	1
143	786	1
576	787	1
174	788	1
435	789	1
154	790	1
2681	791	1
421	792	1
437	793	1
190	794	1
118	795	1
71	796	1
1834	797	1
1539	798	1
382	799	1
3269	800	1
135	801	1
3433	802	1
2289	803	1
158	804	1
184	804	1
2169	805	1
2386	806	1
2252	807	1
3339	808	1
3191	809	1
1160	810	1
186	811	1
77	812	1
71	813	1
2153	814	1
160	815	1
300	816	1
34	817	1
457	818	1
549	819	1
1763	820	1
2302	821	1
212	822	1
3053	823	1
437	824	1
2526	825	1
418	826	1
64	827	1
2171	828	1
2172	829	1
305	830	1
443	831	1
3625	832	1
164	833	1
471	834	1
3111	835	1
2471	836	1
3283	837	1
2318	838	1
2189	839	1
2265	840	1
483	841	1
145	842	1
3054	843	1
245	844	1
214	845	1
2098	846	1
243	847	1
0	848	1
3308	849	1
458	850	1
3143	851	1
243	852	1
967	853	1
3141	854	1
3351	855	1
2315	856	1
2457	857	1
162	858	1
3312	859	1
911	860	1
3742	861	1
3403	862	1
3305	863	1
3578	863	1
275	864	1
242	865	1
914	866	1
3670	867	1
1280	868	1
2412	869	1
2204	870	1
252	871	1
271	872	1
61	873	1
392	874	1
102	875	1
3716	876	1
70	877	1
281	878	1
3185	879	1
158	880	1
184	880	1
3459	881	1
394	882	1
3433	883	1
332	884	1
513	885	3
466	886	1
94	887	1
1149	888	1
1278	889	1
290	890	1
3186	891	1
2166	892	1
1983	893	1
394	894	1
432	895	1
3624	896	1
72	897	1
422	898	1
353	899	1
211	900	1
2330	901	1
225	902	1
1315	903	1
2107	904	1
158	905	1
184	905	1
132	906	1
2929	907	1
0	908	1
110	909	1
2090	910	1
1207	911	1
14	912	1
387	913	1
1916	914	1
3533	915	1
236	916	1
3673	917	1
2210	918	1
2102	919	1
489	920	1
3344	921	1
524	922	1
1806	923	1
432	924	1
3169	925	1
21	926	1
2406	927	1
3445	928	1
521	929	1
1142	930	1
2631	931	1
439	932	1
2707	933	1
2745	934	1
1402	935	1
516	936	1
223	937	1
72	938	1
463	939	1
251	940	1
402	941	1
2999	942	1
2088	943	1
3605	944	1
539	945	1
3605	946	1
3735	947	1
576	948	1
1530	949	1
408	950	1
6	951	1
435	952	1
2986	953	1
3112	954	1
1294	955	1
2716	956	1
2952	957	1
360	958	1
2542	959	1
71	960	1
1777	961	1
3575	962	1
2861	963	1
386	964	1
69	965	1
1171	966	1
3512	967	1
2582	968	1
218	969	1
293	970	1
3601	971	1
1508	972	1
3111	973	1
2886	974	1
1792	975	1
306	976	1
270	977	1
2520	978	1
3088	979	1
1849	980	1
3450	981	1
2557	982	1
3414	983	1
178	984	1
305	985	1
2546	986	1
1859	987	1
3718	988	1
2112	989	1
478	990	1
3139	991	1
2133	992	1
270	993	1
3719	994	1
223	995	1
1041	996	1
2304	997	1
185	998	1
3237	999	1
1171	1000	1
2461	1001	1
117	1002	1
240	1003	1
1966	1004	1
3631	1005	1
1925	1006	1
3174	1007	1
499	1008	1
1736	1009	1
732	1010	1
3688	1011	1
553	1012	1
2595	1013	1
2677	1014	1
2305	1015	1
345	1016	1
3526	1017	1
2463	1018	1
1987	1019	1
3345	1020	1
326	1021	1
2110	1022	1
3173	1023	1
2350	1024	1
304	1025	1
2361	1026	1
1622	1027	1
2570	1028	1
436	1029	1
2041	1030	1
2727	1031	1
2069	1032	1
223	1033	1
1271	1034	1
3168	1035	1
2969	1036	1
3284	1037	1
2818	1038	1
1854	1039	1
2598	1039	1
3607	1040	1
3510	1041	1
1498	1042	1
2278	1043	1
2174	1044	1
1163	1045	1
2222	1046	1
2430	1047	1
3388	1048	1
538	1049	1
213	1050	1
435	1051	1
1361	1052	1
2141	1053	1
2920	1054	1
2292	1055	1
2166	1056	1
2064	1057	1
3080	1058	1
449	1059	1
1290	1060	1
3412	1061	1
2328	1062	1
2743	1063	1
487	1064	1
1221	1065	1
2799	1066	1
1013	1067	1
3588	1068	1
2402	1069	1
1937	1070	1
827	1071	1
2574	1072	1
2583	1073	1
827	1074	1
492	1075	1
2172	1076	1
367	1077	1
1558	1078	1
2311	1079	1
3330	1080	1
3570	1081	1
1105	1082	1
3621	1083	1
3643	1084	1
532	1085	1
2468	1086	1
396	1087	1
921	1088	1
3622	1089	1
386	1090	1
2827	1091	1
501	1092	1
1558	1093	1
2020	1094	1
108	1095	1
1910	1096	1
1192	1097	1
2751	1098	1
3607	1099	1
2227	1100	1
2450	1101	1
2804	1102	1
210	1103	1
3620	1104	1
122	1105	1
3159	1106	1
453	1107	1
2614	1108	1
2283	1109	1
3169	1110	1
58	1111	1
3309	1112	1
3208	1113	1
1923	1114	1
2411	1115	1
3426	1116	1
2716	1117	1
220	1118	1
3182	1119	1
3290	1120	1
218	1121	1
2616	1122	1
307	1123	1
266	1124	1
52	1125	1
0	1126	1
77	1127	1
2534	1128	1
2094	1129	1
2166	1130	1
3257	1131	1
220	1132	1
3499	1133	1
3335	1134	1
1799	1135	1
352	1136	1
2514	1137	1
386	1138	1
3040	1139	1
1892	1140	1
2508	1141	1
2215	1142	1
97	1143	1
2169	1144	1
3314	1145	1
97	1146	1
1644	1147	1
480	1148	1
443	1149	1
435	1150	1
2430	1151	1
264	1152	1
270	1153	1
3356	1154	1
3588	1155	1
359	1156	1
242	1157	1
359	1158	1
3705	1159	1
480	1160	1
21	1161	1
2425	1162	1
1272	1163	1
378	1164	1
2490	1165	1
239	1166	1
2886	1167	1
2967	1168	1
1935	1169	1
1132	1170	1
60	1171	1
1987	1172	1
3133	1173	1
97	1174	1
2057	1175	1
1996	1176	1
2987	1177	1
2967	1178	1
3553	1179	1
555	1180	1
77	1181	1
81	1182	1
90	1183	1
456	1184	1
354	1185	1
3461	1186	1
213	1187	1
3120	1188	1
2746	1189	1
116	1190	1
8	1191	1
3174	1192	1
2151	1193	1
85	1194	1
284	1195	1
498	1196	1
3530	1197	1
409	1198	1
1102	1199	1
3278	1200	1
3263	1201	1
2959	1202	1
229	1203	1
473	1204	1
416	1205	1
3437	1206	1
245	1207	1
3714	1208	1
3670	1209	1
3616	1210	1
3036	1211	1
2891	1212	1
3434	1213	1
3454	1214	1
2664	1215	1
3490	1216	1
2249	1217	1
366	1218	1
220	1219	1
2848	1220	1
364	1221	1
1995	1222	1
3703	1223	1
2362	1224	1
3639	1225	1
1021	1226	1
2433	1227	1
3021	1228	1
904	1229	1
2222	1230	1
296	1231	1
378	1232	1
3112	1233	1
3171	1233	1
2535	1234	1
2481	1235	1
3436	1236	1
0	1237	1
101	1238	1
484	1239	1
2891	1240	1
107	1241	1
3103	1242	1
2195	1243	1
3078	1244	1
1865	1245	1
436	1246	1
2242	1247	1
1743	1248	1
312	1249	1
83	1250	1
109	1250	1
601	1251	1
245	1252	1
94	1253	1
306	1254	1
1685	1255	1
3137	1256	1
3616	1257	1
493	1258	1
2899	1259	1
243	1260	1
213	1261	1
2237	1262	1
1658	1263	1
405	1264	1
1647	1265	1
1794	1266	1
1908	1267	1
914	1268	1
3334	1269	1
1908	1270	1
157	1271	1
77	1272	1
204	1273	1
2247	1274	1
243	1275	1
1448	1276	1
2392	1277	1
1791	1278	1
1904	1279	1
423	1280	1
278	1281	1
3472	1282	1
3232	1283	1
2463	1284	1
1889	1285	1
3608	1286	1
492	1287	1
1463	1288	1
3680	1289	1
406	1290	1
2347	1291	1
1883	1292	1
2963	1293	1
2289	1294	1
2563	1295	1
3617	1296	1
3721	1297	1
3032	1298	1
3601	1299	1
23	1300	1
2774	1301	1
389	1302	1
1815	1303	1
2893	1304	1
2347	1305	1
405	1306	1
2002	1307	1
2668	1308	1
434	1309	1
345	1310	1
2853	1311	1
0	1312	1
2319	1313	1
229	1314	1
1738	1315	1
433	1316	1
1920	1317	1
1899	1318	1
471	1319	1
545	1320	1
565	1321	1
460	1322	1
2859	1323	1
125	1324	1
393	1325	1
908	1326	1
194	1327	1
392	1328	1
3068	1329	1
30	1330	1
69	1331	1
3049	1332	1
2976	1333	1
4	1334	1
125	1335	1
0	1336	1
0	1337	1
1877	1338	1
277	1339	1
2091	1340	1
2710	1341	1
2255	1342	1
2540	1343	1
1552	1344	1
2514	1345	1
2102	1346	1
81	1347	1
420	1348	1
445	1349	1
25	1350	1
155	1351	1
204	1352	1
254	1353	1
14	1354	1
26	1355	1
162	1356	1
2085	1357	1
1041	1358	1
1042	1359	1
503	1360	1
3343	1361	1
3206	1362	1
2608	1363	1
245	1364	1
3133	1365	1
2106	1366	1
396	1367	1
1815	1368	1
2703	1369	1
2889	1370	1
1862	1371	1
2193	1372	1
2825	1373	1
3008	1374	1
2967	1375	1
1319	1376	1
1103	1377	1
18	1378	1
113	1378	1
1536	1379	1
2906	1380	1
2485	1381	1
3185	1382	1
952	1383	1
2815	1384	1
77	1385	1
827	1386	1
1142	1387	1
119	1388	1
